Dataset;ContrAvs;HVAvs;GDAvs;ContrAvc;HVAvc;GDAvc;ContrAvsc;HVAvsc;GDAvsc;ContrAs;HVAs;GDAs;ContrAc;HVAc;GDAc;ContrAsc;HVAsc;GDAsc;ContrRandom;HVRandom;GDRandom
2;0.214;0.5705;0.0081;0.1821;0.5391;0.0074;0.1533;0.5668;0.008;0.1693;0.5711;0.0087;0.1373;0.5662;0.0081;0.1437;0.5676;0.0079;0;0.1832;0.0595
2;0.203;0.5716;0.0082;0.1723;0.5701;0.0079;0.1446;0.566;0.0079;0.1446;0.5702;0.0082;0.1753;0.5695;0.0082;0.16;0.5693;0.0078;0;0.2511;0.0591
2;0.1896;0.5714;0.0082;0.2517;0.5717;0.0084;0.1793;0.5719;0.008;0.1172;0.5675;0.0084;0.1;0.5667;0.0082;0.162;0.5694;0.008;0;0.215;0.0626
2;0.1584;0.5694;0.0083;0.095;0.5353;0.0081;0.1725;0.5687;0.0081;0.169;0.5709;0.0087;0.2359;0.5682;0.0079;0.169;0.57;0.008;0;0.2186;0.0622
2;0.1379;0.571;0.0084;0.2379;0.5708;0.0081;0.1827;0.5714;0.0079;0.1931;0.5711;0.0085;0.1275;0.5669;0.008;0.1206;0.5684;0.0078;0;0.2091;0.058
2;0.1508;0.567;0.0087;0.2557;0.5723;0.0089;0.1639;0.5702;0.0079;0.1639;0.5691;0.0085;0.1442;0.5705;0.0078;0.1213;0.5697;0.0079;0;0.2086;0.0567
2;0.1409;0.5692;0.0086;0.2524;0.5722;0.0086;0.1737;0.5685;0.0079;0.177;0.5717;0.0085;0.1147;0.5689;0.008;0.1409;0.5681;0.0081;0;0.224;0.0598
2;0.1587;0.5686;0.0082;0.1206;0.5391;0.008;0.1904;0.5686;0.0081;0.146;0.57;0.0083;0.1523;0.5677;0.008;0.2317;0.5713;0.0079;0;0.2149;0.0613
2;0.1632;0.5708;0.0086;0.2482;0.5724;0.0084;0.17;0.5703;0.0077;0.1428;0.5702;0.0082;0.153;0.5684;0.008;0.1224;0.57;0.008;0;0.1932;0.0576
2;0.1778;0.5728;0.0084;0.3187;0.5724;0.0077;0.0939;0.5655;0.008;0.1778;0.571;0.0084;0.1174;0.5651;0.0076;0.114;0.5651;0.0079;0;0.219;0.0566
2;0.1666;0.5703;0.008;0.1938;0.5714;0.0082;0.1768;0.5697;0.0082;0.1904;0.5707;0.0085;0.1428;0.5673;0.008;0.1292;0.5684;0.0076;0;0.2087;0.0646
2;0.1619;0.5687;0.0084;0.1936;0.5685;0.0079;0.1654;0.5693;0.0079;0.1654;0.5694;0.0083;0.1795;0.57;0.0079;0.1338;0.5667;0.0079;0;0.1874;0.0619
3;0.1481;0.5145;0.0025;0.195;0.5081;0.0038;0.13;0.5113;0.0014;0.1617;0.5155;0.0014;0.1164;0.5123;0.0011;0.2486;0.5154;0.0009;0;0.1871;0.0198
3;0.0319;0.5104;0.0031;0.1885;0.5058;0.0047;0.1969;0.5097;0.0012;0.2095;0.5139;0.0014;0.0799;0.5106;0.0011;0.2929;0.5142;0.0009;0;0.1966;0.0195
3;0.1269;0.518;0.0018;0.2326;0.5056;0.0065;0.1908;0.5176;0.0011;0.0927;0.5181;0.0015;0.0935;0.5163;0.001;0.2631;0.5193;0.001;0;0.1879;0.0203
3;0.1051;0.5096;0.0016;0.2424;0.501;0.0047;0.1892;0.5089;0.0012;0.0399;0.5091;0.0022;0.2228;0.5102;0.001;0.2004;0.511;0.001;0;0.2088;0.0188
3;0.0812;0.512;0.0015;0.3157;0.5098;0.0033;0.1104;0.5103;0.0014;0.1525;0.5136;0.0016;0.1489;0.5119;0.0011;0.191;0.5134;0.0009;0;0.2175;0.0174
3;0.0022;0.5105;0.0033;0.2581;0.5101;0.0049;0.3112;0.5209;0.001;0.1238;0.521;0.0015;0.0929;0.5194;0.001;0.2116;0.5217;0.0009;0;0.1867;0.0191
3;0.1365;0.5213;0.0014;0.148;0.5024;0.0057;0.2796;0.5211;0.001;0.0445;0.5195;0.0018;0.1775;0.5204;0.001;0.2135;0.5207;0.0009;0;0.174;0.0195
3;0.0736;0.5092;0.0025;0.5034;0.5078;0.0041;0.2208;0.5105;0.0011;0.0196;0.5077;0.0021;0.1309;0.5103;0.001;0.0513;0.5102;0.0009;0;0.1713;0.0191
3;0.028;0.5113;0.0028;0.3867;0.511;0.0048;0.1842;0.5128;0.0012;0.0702;0.513;0.002;0.1231;0.5136;0.0009;0.2074;0.515;0.0009;0;0.1896;0.0198
3;0.097;0.5188;0.0031;0;0.4996;0.0059;0.2026;0.5158;0.0012;0.2151;0.5204;0.0015;0.1635;0.5181;0.001;0.3215;0.5209;0.0008;0;0.2026;0.0181
3;0.1651;0.519;0.0016;0.2656;0.5129;0.0027;0.2009;0.5165;0.0013;0;0.4934;0.006;0.1742;0.519;0.0009;0.194;0.5191;0.0008;0;0.2058;0.02
3;0.0801;0.5186;0.0015;0.3277;0.5133;0.0042;0.1722;0.5184;0.0011;0.1748;0.5203;0.0011;0.1014;0.5177;0.001;0.1435;0.5191;0.0009;0;0.1976;0.0196
3;0.0868;0.5194;0.0015;0.3182;0.5134;0.0059;0.2779;0.5203;0.001;0.0924;0.52;0.0013;0.1681;0.5199;0.0009;0.0562;0.5182;0.0011;0;0.1819;0.0195
3;0.1157;0.5148;0.0023;0.3497;0.5095;0.0057;0.1699;0.5127;0.0014;0.1559;0.5159;0.0013;0.1535;0.5148;0.001;0.055;0.5147;0.0009;0;0.2177;0.0179
3;0.0442;0.5169;0.0017;0.4867;0.5146;0.004;0.0548;0.5114;0.0014;0.1123;0.5181;0.0016;0.1345;0.5157;0.001;0.1672;0.5182;0.0009;0;0.2156;0.0175
3;0.01;0.5025;0.0037;0.0008;0.492;0.0054;0.2617;0.5075;0.0012;0.1468;0.5076;0.0019;0.2969;0.5082;0.001;0.2835;0.5085;0.001;0;0.187;0.0185
3;0.0566;0.5122;0.0019;0.3092;0.4984;0.005;0.0775;0.5069;0.0015;0.1777;0.5143;0.0014;0.1158;0.5119;0.0011;0.263;0.5144;0.001;0;0.2008;0.0193
