Dataset;ContrACII;HVACII;GDACII;ContrAC;HVAC;GDAC;ContrA;HVA;GDA;ContrI;HVI;GDI;Contr;HV;GD
2;0.1538;0.5696;0.008;0.2524;0.574;0.0083;0.1057;0.569;0.0084;0.2427;0.5417;0.0113;0.2451;0.5417;0.0112
2;0.1966;0.5709;0.0081;0.1247;0.5435;0.008;0.1846;0.5714;0.0084;0.247;0.5418;0.0112;0.247;0.5418;0.0113
2;0.1116;0.5687;0.0078;0.2208;0.5708;0.0078;0.1548;0.5704;0.0084;0.2563;0.5416;0.0112;0.2563;0.5416;0.0112
2;0.1237;0.5674;0.008;0.2178;0.5726;0.0079;0.1435;0.5709;0.0085;0.25;0.5418;0.0113;0.2648;0.5418;0.0112
2;0.1277;0.5694;0.0081;0.2795;0.5751;0.0079;0.1012;0.5706;0.0084;0.2457;0.5417;0.0113;0.2457;0.5417;0.0113
2;0.1553;0.569;0.008;0.1403;0.5387;0.008;0.1879;0.5708;0.008;0.2581;0.5417;0.0112;0.2581;0.5417;0.0111
2;0.1544;0.5722;0.0077;0.1985;0.5724;0.0078;0.1397;0.5713;0.0087;0.2524;0.5417;0.0112;0.2549;0.5417;0.0112
2;0.1219;0.5686;0.0077;0.2512;0.5744;0.0082;0.1121;0.5687;0.0085;0.256;0.5418;0.0112;0.2585;0.5418;0.0112
2;0.1606;0.569;0.0077;0.1243;0.5423;0.0078;0.1865;0.5697;0.0084;0.2616;0.5417;0.0112;0.2668;0.5417;0.0112
2;0.1005;0.5676;0.0081;0.3095;0.5737;0.0085;0.1084;0.569;0.0084;0.2407;0.5416;0.0112;0.2407;0.5416;0.0112
2;0.1484;0.566;0.0078;0.125;0.5625;0.0079;0.1927;0.5714;0.0084;0.2682;0.5416;0.0113;0.2656;0.5416;0.0112
2;0.1588;0.5669;0.008;0.1464;0.5393;0.0073;0.1687;0.5697;0.0081;0.2729;0.5418;0.0112;0.2531;0.5418;0.0111
2;0.1421;0.566;0.0079;0.1705;0.5702;0.0079;0.1447;0.5666;0.0084;0.2687;0.5418;0.0112;0.2739;0.5418;0.0112
2;0.159;0.5717;0.008;0.1975;0.5715;0.0084;0.1493;0.569;0.0083;0.2457;0.5415;0.0112;0.2481;0.5415;0.0112
2;0.1884;0.5688;0.008;0.0706;0.5354;0.0081;0.1989;0.5703;0.0085;0.267;0.5417;0.0112;0.2748;0.5417;0.0113
2;0.161;0.5713;0.0079;0.1844;0.5707;0.0081;0.174;0.5713;0.0084;0.2363;0.5416;0.0113;0.2441;0.5416;0.0112
2;0.1585;0.5703;0.0079;0.2195;0.5723;0.0089;0.1195;0.569;0.0086;0.2512;0.5416;0.0112;0.2512;0.5416;0.0113
2;0.1291;0.5685;0.0079;0.2129;0.5722;0.0086;0.1578;0.5711;0.008;0.244;0.5418;0.0112;0.2559;0.5418;0.0112
2;0.2055;0.5688;0.008;0.0977;0.5392;0.008;0.1729;0.5704;0.0085;0.2581;0.5418;0.0112;0.2656;0.5418;0.0112
2;0.1544;0.5705;0.0077;0.1936;0.5726;0.0085;0.1446;0.5695;0.009;0.2549;0.5418;0.0113;0.2524;0.5418;0.0113
2;0.0977;0.5655;0.008;0.2531;0.5724;0.0077;0.1303;0.5711;0.0083;0.2581;0.5418;0.0112;0.2606;0.5418;0.0112
2;0.1559;0.5695;0.0082;0.1608;0.5713;0.0082;0.1707;0.5708;0.0085;0.2599;0.5416;0.0113;0.2524;0.5416;0.0113
2;0.1385;0.5692;0.0079;0.1711;0.5684;0.0079;0.1929;0.5699;0.0085;0.25;0.5413;0.0112;0.2472;0.5413;0.0112
3;0.3017;0.5338;0.0012;0.3819;0.5291;0.0033;0.3163;0.5378;0.0013;0;0.3895;0.0089;0;0.3212;0.0088
3;0.5464;0.5192;0.0011;0.4426;0.514;0.0044;0.0109;0.5095;0.0035;0;0.3736;0.0095;0;0.294;0.0091
3;0.363;0.5275;0.001;0.3899;0.5139;0.0061;0.2469;0.5281;0.0012;0;0.3848;0.0092;0;0.3008;0.009
3;0.3788;0.5463;0.0009;0.4186;0.5343;0.0036;0.2025;0.5475;0.0013;0;0.399;0.0087;0;0.3209;0.0088
3;0.2358;0.5283;0.0012;0.5113;0.5263;0.0028;0.2528;0.5317;0.0013;0;0.3841;0.0094;0;0.3089;0.0087
3;0.4774;0.5373;0.0009;0.3729;0.5247;0.0044;0.1495;0.5358;0.0018;0;0.3909;0.0086;0;0.3107;0.0089
3;0.4705;0.5211;0.001;0.2568;0.5024;0.0057;0.2726;0.5215;0.0012;0;0.3781;0.0096;0;0.2986;0.0092
3;0.2636;0.5235;0.001;0.5963;0.5194;0.0037;0.1399;0.5241;0.0013;0;0.3809;0.0101;0;0.3013;0.009
3;0.3084;0.5218;0.0011;0.571;0.519;0.0045;0.1204;0.5223;0.0015;0;0.3759;0.0097;0;0.3009;0.009
3;0.6034;0.5255;0.0011;0;0.5081;0.0056;0.3965;0.5293;0.0012;0;0.3883;0.0092;0;0.3093;0.0092
3;0.3283;0.5071;0.0014;0.4002;0.5042;0.0029;0.2713;0.5097;0.0014;0;0.3672;0.0108;0;0.2811;0.0092
3;0.3042;0.538;0.001;0.5252;0.5308;0.0037;0.1705;0.5393;0.0011;0;0.3928;0.0085;0;0.3207;0.0086
3;0.4057;0.5222;0.001;0.4438;0.5151;0.0058;0.1504;0.5221;0.0013;0;0.3819;0.0101;0;0.3012;0.0092
3;0.2567;0.5357;0.0012;0.4786;0.5296;0.005;0.2645;0.5394;0.0012;0;0.3926;0.0089;0;0.3154;0.0088
3;0.1209;0.5495;0.0012;0.7191;0.5484;0.0032;0.1599;0.5552;0.0014;0;0.4048;0.0083;0;0.3361;0.0082
3;0.5971;0.5295;0.001;0.0156;0.5104;0.0047;0.3871;0.5301;0.0012;0;0.3879;0.0096;0;0.3028;0.009
3;0.217;0.5412;0.0012;0.5798;0.5278;0.004;0.2031;0.5456;0.0019;0;0.4026;0.0089;0;0.3266;0.0079
3;0.3029;0.5464;0.0011;0.6036;0.5448;0.003;0.0933;0.549;0.0014;0;0.3966;0.0087;0;0.3323;0.0081
3;0.4774;0.5559;0.0009;0.4864;0.5403;0.0047;0.0361;0.5499;0.0023;0;0.4064;0.0086;0;0.3313;0.0088
3;0.6403;0.529;0.001;0.2372;0.5001;0.0052;0.1224;0.5252;0.0021;0;0.3806;0.0095;0;0.3073;0.0086
3;0.2771;0.5405;0.0011;0.6602;0.5376;0.0046;0.0625;0.5384;0.0021;0;0.398;0.0088;0;0.3152;0.0085
3;0.2448;0.534;0.0011;0.5606;0.5327;0.0032;0.1944;0.5366;0.0014;0;0.3865;0.0093;0;0.3149;0.0086
3;0.352;0.536;0.0013;0.3389;0.5283;0.0046;0.309;0.5394;0.0011;0;0.4066;0.009;0;0.3198;0.0085
3;0.3694;0.5377;0.0011;0.3599;0.5242;0.0045;0.2705;0.5396;0.0014;0;0.3935;0.0091;0;0.3056;0.0085
3;0.8526;0.5337;0.0009;0.1214;0.5099;0.0053;0.0259;0.5271;0.0032;0;0.3891;0.0093;0;0.3175;0.0086
3;0.5158;0.5264;0.0011;0.0794;0.5127;0.0048;0.4046;0.5295;0.0012;0;0.3857;0.009;0;0.3083;0.0088
3;0.4796;0.5529;0.001;0.1016;0.5222;0.0042;0.4186;0.5552;0.0013;0;0.4064;0.0084;0;0.3349;0.0079
3;0.224;0.5355;0.0012;0.5306;0.5252;0.0052;0.2452;0.5401;0.0011;0;0.3908;0.0092;0;0.325;0.0086
3;0.2742;0.5293;0.0012;0.4774;0.5272;0.0038;0.2483;0.5339;0.0013;0;0.3818;0.009;0;0.3149;0.0087
3;0.4809;0.5344;0.0011;0.2768;0.5156;0.0044;0.2422;0.534;0.0016;0;0.3941;0.0087;0;0.3121;0.0086
4;0.4621;0.5862;0.0024;0.5238;0.5889;0.0043;0.014;0.5735;0.0048;0;0.499;0.0074;0;0.4737;0.0088
4;0.5398;0.5893;0.0023;0.423;0.5813;0.0044;0.037;0.5787;0.0039;0;0.4997;0.0066;0;0.4667;0.0084
4;0.4269;0.5905;0.0024;0.4909;0.5861;0.005;0.082;0.5886;0.0036;0;0.5041;0.0066;0;0.4761;0.0084
4;0.5107;0.5909;0.0024;0.4678;0.5856;0.0048;0.0214;0.5794;0.0049;0;0.497;0.0075;0;0.4724;0.0085
4;0.4102;0.5911;0.0023;0.5247;0.5848;0.0044;0.065;0.586;0.0035;0;0.5017;0.0066;0;0.472;0.0092
4;0.4711;0.5867;0.0023;0.4587;0.5789;0.0042;0.07;0.5811;0.0037;0;0.4966;0.0074;0;0.4629;0.0089
4;0.4741;0.5853;0.0024;0.4701;0.5814;0.0054;0.0557;0.577;0.0038;0;0.4914;0.0071;0;0.4602;0.0097
4;0.4016;0.5961;0.0023;0.5252;0.5937;0.0036;0.073;0.5915;0.0036;0;0.5026;0.007;0;0.4743;0.0087
4;0.4803;0.5981;0.0023;0.4559;0.5939;0.004;0.0637;0.588;0.0037;0;0.5066;0.0073;0;0.4893;0.0084
4;0.5035;0.5934;0.0023;0.4361;0.5812;0.0047;0.0602;0.5872;0.0036;0;0.5046;0.0078;0;0.4684;0.0094
4;0.4916;0.5894;0.0023;0.4944;0.5854;0.0041;0.0139;0.574;0.0043;0;0.4962;0.0066;0;0.4666;0.0092
4;0.4751;0.5889;0.0024;0.4509;0.5775;0.0054;0.0739;0.582;0.0038;0;0.4992;0.0074;0;0.4667;0.0087
4;0.4452;0.5874;0.0025;0.5273;0.5897;0.0041;0.0273;0.5791;0.004;0;0.4986;0.007;0;0.4686;0.0085
4;0.474;0.5901;0.0023;0.4727;0.5883;0.0041;0.0531;0.5831;0.0036;0;0.5003;0.007;0;0.4725;0.0088
4;0.4671;0.5859;0.0024;0.5;0.5832;0.0048;0.0328;0.579;0.0041;0;0.493;0.0075;0;0.466;0.0086
4;0.4201;0.5865;0.0024;0.4931;0.5835;0.0039;0.0867;0.5822;0.0037;0;0.4966;0.0066;0;0.4644;0.0085
4;0.5383;0.5908;0.0023;0.4575;0.5881;0.0037;0.0041;0.5752;0.0043;0;0.5031;0.0066;0;0.4645;0.0088
4;0.5114;0.5884;0.0024;0.4755;0.5725;0.0052;0.0129;0.5695;0.005;0;0.4981;0.0075;0;0.471;0.0089
4;0.4562;0.5839;0.0025;0.5254;0.583;0.0041;0.0183;0.5715;0.0045;0;0.4917;0.007;0;0.4613;0.0084
4;0.4693;0.5914;0.0024;0.5064;0.5842;0.0042;0.0242;0.5812;0.0037;0;0.5054;0.0071;0;0.463;0.0086
4;0.47;0.5929;0.0023;0.4673;0.588;0.0043;0.0626;0.587;0.0038;0;0.5059;0.0069;0;0.4757;0.0092
4;0.4933;0.5887;0.0024;0.435;0.584;0.0046;0.0716;0.5829;0.0034;0;0.4996;0.0071;0;0.475;0.0086
4;0.4564;0.5854;0.0025;0.4915;0.5798;0.0041;0.0519;0.5807;0.0036;0;0.4924;0.0071;0;0.462;0.0095
4;0.4843;0.5919;0.0024;0.4971;0.5894;0.0043;0.0185;0.5791;0.004;0;0.4997;0.0071;0;0.4612;0.0086
4;0.5582;0.5888;0.0024;0.4059;0.5675;0.0041;0.0358;0.5765;0.0042;0;0.4989;0.007;0;0.4737;0.0089
4;0.4949;0.5843;0.0024;0.4548;0.5746;0.0049;0.0502;0.5781;0.0037;0;0.4978;0.0075;0;0.4649;0.0092
4;0.4085;0.5894;0.0024;0.5304;0.5911;0.0048;0.0609;0.5857;0.0036;0;0.4974;0.0073;0;0.4741;0.0089
4;0.9144;0.5907;0.0024;0;0.4606;0.0089;0.0855;0.5773;0.0047;0;0.5037;0.0073;0;0.4623;0.009
4;0.4328;0.5887;0.0024;0.5021;0.5889;0.0042;0.065;0.5812;0.0043;0;0.4982;0.0068;0;0.467;0.0085
4;0.4663;0.5859;0.0023;0.5042;0.5832;0.0049;0.0294;0.575;0.0041;0;0.4932;0.0076;0;0.461;0.009
5;0.4072;0.5408;0.0002;0.3408;0.5155;0.029;0.2518;0.5399;0.0002;0;0.1594;0.1242;0;0;0.2282
5;0.5303;0.5412;0.0002;0.2696;0.4934;0.0243;0.2;0.5392;0.0002;0;0.1812;0.1143;0;0;0.2165
5;0.4138;0.5403;0.0002;0.2905;0.5057;0.0283;0.2955;0.5395;0.0002;0;0.1584;0.128;0;0;0.218
5;0.4392;0.5404;0.0002;0.3232;0.4854;0.0554;0.2375;0.5394;0.0002;0;0.1604;0.0987;0;0;0.1869
5;0.7093;0.5415;0.0003;0;0.4423;0.0297;0.2906;0.5399;0.0002;0;0.1587;0.1099;0;0.0006;0.2159
5;0.2967;0.5394;0.0002;0.4065;0.5226;0.0265;0.2967;0.5391;0.0002;0;0.1499;0.125;0;0;0.1705
5;0.3499;0.5392;0.0003;0.2515;0.4863;0.0175;0.3984;0.5393;0.0002;0;0.146;0.1002;0;0;0.181
5;0.3131;0.5405;0.0002;0.4128;0.5324;0.0261;0.274;0.5399;0.0003;0;0.2043;0.0987;0;0;0.2225
5;0.7164;0.5409;0.0003;0;0;0.3149;0.2835;0.5365;0.0003;0;0.1418;0.0888;0;0;0.1967
5;0.7006;0.5408;0.0002;0;0;0.3663;0.2993;0.5393;0.0002;0;0.1271;0.0902;0;0;0.2473
5;0.3781;0.5408;0.0002;0.3291;0.5158;0.0383;0.2927;0.5401;0.0001;0;0.1476;0.0953;0;0;0.2381
5;0.5562;0.5399;0.0003;0;0.4527;0.0161;0.4437;0.5398;0.0003;0;0.1501;0.1212;0;0;0.2069
5;0.3834;0.5409;0.0002;0.4273;0.5292;0.0163;0.1892;0.5393;0.0002;0;0.2004;0.1104;0;0;0.2083
5;0.6197;0.541;0.0003;0.0174;0.4672;0.0451;0.3628;0.5403;0.0002;0;0.2561;0.115;0;0;0.1829
5;0.6266;0.5406;0.0003;0;0;0.2344;0.3733;0.5397;0.0002;0;0.1566;0.1371;0;0;0.2317
5;0.3874;0.5399;0.0003;0.326;0.4945;0.0322;0.2864;0.5393;0.0001;0;0.1221;0.121;0;0;0.2006
5;0.3586;0.5413;0.0003;0.3798;0.5244;0.0233;0.2615;0.5408;0.0002;0;0.1826;0.1015;0;0;0.2099
5;0.6067;0.5406;0.0003;0;0.3861;0.0138;0.3932;0.5393;0.0002;0;0.1582;0.0924;0;0;0.2133
5;0.4163;0.5408;0.0002;0.3482;0.517;0.0339;0.2354;0.54;0.0002;0;0.2239;0.1022;0;0;0.2223
5;0.4221;0.5402;0.0003;0.3178;0.5154;0.0382;0.26;0.5384;0.0002;0;0.1909;0.0867;0;0;0.2088
5;0.309;0.5393;0.0003;0.3818;0.5296;0.0183;0.309;0.5381;0.0002;0;0.1769;0.1291;0;0;0.2141
5;0.6177;0.5413;0.0002;0;0;0.317;0.3822;0.5409;0.0002;0;0.1547;0.1023;0;0;0.1847
5;0.3901;0.5411;0.0003;0.3641;0.5172;0.0252;0.2457;0.5401;0.0002;0;0.1635;0.0921;0;0.0014;0.2349
5;0.4116;0.5394;0.0003;0.2164;0.4696;0.0264;0.3718;0.5379;0.0002;0;0.1855;0.095;0;0;0.2576
