Dataset;ContrACII;HVACII;GDACII;ContrAC;HVAC;GDAC;ContrA;HVA;GDA;ContrI;HVI;GDI;Contr;HV;GD
2;0.4633;0.5808;0.0008;0.0681;0.5363;0.0034;0.2211;0.5806;0.001;0.123;0.5414;0.0059;0.1242;0.5414;0.0059
2;0.546;0.5809;0.0007;0.0808;0.5418;0.003;0.1312;0.5793;0.0012;0.1248;0.5413;0.0059;0.117;0.5413;0.0059
2;0.3875;0.5812;0.0008;0.3437;0.5797;0.0008;0.0756;0.5772;0.0014;0.0983;0.5415;0.0059;0.0947;0.5415;0.0059
2;0.4567;0.5799;0.0008;0.3159;0.5802;0.0009;0.0355;0.5792;0.0013;0.0951;0.5413;0.0059;0.0965;0.5413;0.0059
2;0.4579;0.581;0.0006;0.3157;0.5743;0.0008;0.09;0.5792;0.0012;0.0662;0.5414;0.0059;0.0699;0.5414;0.0059
2;0.3744;0.5812;0.0007;0.3437;0.578;0.001;0.0976;0.5796;0.0011;0.0969;0.5415;0.0059;0.0871;0.5415;0.0059
2;0.5153;0.5813;0.0007;0.0006;0.5595;0.0017;0.1745;0.58;0.0011;0.1567;0.5416;0.0059;0.1526;0.5416;0.0059
2;0.47;0.5809;0.0007;0.0775;0.5433;0.0037;0.126;0.5786;0.0014;0.1644;0.5414;0.0059;0.1619;0.5414;0.0059
2;0.3468;0.5811;0.0007;0.3807;0.5797;0.0008;0.0821;0.5798;0.0011;0.0951;0.5414;0.0059;0.0951;0.5414;0.0059
2;0.3118;0.5809;0.0008;0.2877;0.5789;0.0008;0.1535;0.5807;0.001;0.1228;0.5414;0.0059;0.124;0.5414;0.0059
2;0.3585;0.5803;0.0008;0.317;0.5803;0.0009;0.1132;0.5803;0.0012;0.1112;0.5415;0.0059;0.0998;0.5415;0.0059
2;0.419;0.5808;0.0008;0.3086;0.5374;0.002;0.0769;0.5782;0.0013;0.0958;0.5415;0.0059;0.0994;0.5415;0.0059
2;0.4192;0.5813;0.0006;0.3409;0.5745;0.001;0.079;0.5799;0.001;0.0818;0.5415;0.0059;0.079;0.5415;0.0059
2;0.4797;0.5813;0.0008;0.0514;0.5445;0.0033;0.188;0.5802;0.0011;0.14;0.5417;0.0059;0.1407;0.5417;0.0059
2;0.3524;0.581;0.0006;0.4519;0.5662;0.0009;0.0656;0.5798;0.0011;0.0635;0.5415;0.0059;0.0663;0.5415;0.0059
2;0.4567;0.5802;0.0009;0.3733;0.5806;0.0007;0.052;0.5797;0.001;0.0581;0.5412;0.0059;0.0596;0.5412;0.006
2;0.354;0.5807;0.0007;0.3239;0.5782;0.0008;0.0916;0.5801;0.0012;0.1167;0.5415;0.0059;0.1136;0.5415;0.0059
2;0.4526;0.5809;0.0008;0.0681;0.5428;0.0037;0.1566;0.5802;0.0012;0.1591;0.5416;0.0059;0.1634;0.5416;0.0059
2;0.4059;0.5811;0.0007;0.314;0.5802;0.0008;0.1573;0.5805;0.001;0.0599;0.5414;0.0058;0.0626;0.5414;0.0059
2;0.3967;0.5813;0.0007;0.3418;0.5802;0.0008;0.0991;0.5803;0.001;0.0804;0.5415;0.0059;0.0817;0.5415;0.0059
2;0.3539;0.5814;0.0007;0.3355;0.5796;0.0007;0.0959;0.5806;0.001;0.1124;0.5415;0.0058;0.102;0.5415;0.0059
2;0.4768;0.5804;0.0008;0.0084;0.5567;0.0019;0.1532;0.5801;0.0011;0.1806;0.5416;0.0059;0.1806;0.5416;0.0059
2;0.4735;0.5818;0.0007;0.0616;0.5434;0.0033;0.1906;0.5809;0.0009;0.1364;0.5418;0.0059;0.1376;0.5418;0.0059
2;0.389;0.5805;0.0008;0.3072;0.5609;0.0011;0.0922;0.5774;0.0012;0.1061;0.5415;0.0059;0.1054;0.5415;0.0059
2;0.4362;0.581;0.0007;0.073;0.5416;0.0033;0.1546;0.5801;0.0011;0.1688;0.5417;0.0059;0.1671;0.5417;0.0059
3;0.8122;0.6212;0;0;0.4486;0.0152;0.1877;0.6166;0;0;0.5239;0.0079;0;0.4659;0.0104
3;0.7355;0.6041;0;0;0.5503;0.0028;0.2644;0.6041;0;0;0.5006;0.0088;0;0.4535;0.0105
3;0.6766;0.5505;0;0;0.3773;0.0173;0.3233;0.55;0.0002;0;0.4435;0.011;0;0.3825;0.0116
3;0.6627;0.5524;0;0;0.5076;0.0078;0.3372;0.5516;0;0;0.4442;0.0124;0;0.3803;0.0141
3;0.7172;0.6034;0;0;0.5382;0.0083;0.2827;0.6008;0;0;0.4983;0.0076;0;0.4451;0.0118
3;0.7094;0.5531;0;0;0.5146;0.0125;0.2905;0.5513;0;0;0.4424;0.013;0;0.3716;0.0136
3;0.7925;0.551;0;0;0.521;0.0069;0.2074;0.5504;0;0;0.4354;0.0108;0;0.3835;0.0121
3;0.7035;0.5148;0;0;0.4724;0.0113;0.2964;0.5142;0;0;0.4057;0.0164;0;0.3362;0.0155
