Dataset;ContrACII;HVACII;GDACII;ContrAC;HVAC;GDAC;ContrA;HVA;GDA;ContrI;HVI;GDI;Contr;HV;GD
2;0.1868;0.5686;0.0464;0.2605;0.566;0.0458;0.1447;0.5641;0.0473;0.2078;0.5418;0.0609;0.2;0.5418;0.061
2;0.1623;0.5616;0.0464;0.313;0.5696;0.0449;0.0376;0.5469;0.0437;0.2492;0.5418;0.0607;0.2376;0.5418;0.0621
2;0.2316;0.568;0.0458;0.2991;0.5684;0.0452;0.0586;0.5536;0.0462;0.1994;0.5418;0.0612;0.2111;0.5418;0.0615
2;0.2334;0.5668;0.0453;0.2017;0.5617;0.0447;0.1527;0.5613;0.0465;0.2046;0.5418;0.0614;0.2074;0.5418;0.0608
2;0.2384;0.5681;0.0467;0.2357;0.5659;0.0462;0.1056;0.5576;0.0436;0.2059;0.5418;0.061;0.214;0.5418;0.0616
2;0.1633;0.5669;0.0468;0.1809;0.5638;0.0441;0.2537;0.5673;0.0459;0.206;0.5418;0.0615;0.1959;0.5418;0.0617
2;0.1392;0.5642;0.0444;0.2045;0.5615;0.0455;0.2301;0.5656;0.0468;0.2073;0.5418;0.0619;0.2187;0.5418;0.0617
2;0.178;0.5605;0.0464;0.2356;0.5661;0.0458;0.126;0.5532;0.0447;0.2273;0.5418;0.0611;0.2328;0.5418;0.0611
2;0.2057;0.563;0.0461;0.2958;0.5664;0.0459;0.0289;0.5327;0.0473;0.2315;0.5415;0.0607;0.2379;0.5415;0.0614
2;0.1588;0.5647;0.0473;0.2057;0.5659;0.0454;0.2578;0.566;0.0476;0.1875;0.5418;0.0616;0.1901;0.5418;0.0621
2;0.1957;0.5643;0.0467;0.2385;0.5651;0.0457;0.1651;0.5626;0.0489;0.1987;0.5418;0.0613;0.2018;0.5418;0.0616
2;0.2177;0.5695;0.0466;0.2914;0.5684;0.0448;0.0705;0.5508;0.0468;0.2024;0.5415;0.0609;0.2177;0.5415;0.0615
2;0.2333;0.5686;0.0465;0.2454;0.5677;0.0453;0.0939;0.5521;0.0462;0.2181;0.5415;0.0609;0.209;0.5415;0.0621
2;0.1964;0.5645;0.0482;0.2316;0.5648;0.0438;0.1026;0.5542;0.0452;0.2346;0.5418;0.0614;0.2346;0.5418;0.0613
2;0.2706;0.5694;0.0474;0.245;0.5672;0.0452;0.0769;0.5565;0.0444;0.2108;0.5415;0.0607;0.1965;0.5415;0.0614
3;0.3963;0.5867;0.0051;0.6036;0.5885;0.0048;0;0.5091;0.0068;0;0.4286;0.0097;0;0.3692;0.0095
3;0.4317;0.569;0.0058;0.5682;0.5704;0.0051;0;0.4359;0.0065;0;0.4133;0.011;0;0.3492;0.01
3;0.5071;0.5587;0.0061;0.4928;0.5591;0.0063;0;0.4745;0.0069;0;0.4014;0.0109;0;0.339;0.0102
3;0.4149;0.6196;0.0045;0.585;0.6193;0.0037;0;0.5236;0.005;0;0.4628;0.0087;0;0.4069;0.0091
3;0.9779;0.5449;0.0058;0.022;0.5397;0.0063;0;0.4509;0.0069;0;0.3957;0.0121;0;0.326;0.0112
3;0.3992;0.5651;0.0049;0.6007;0.5634;0.0058;0;0.4765;0.0075;0;0.4038;0.0106;0;0.3485;0.01
3;0.5191;0.5731;0.0054;0.4808;0.5712;0.0058;0;0.4824;0.0071;0;0.4151;0.0105;0;0.3523;0.01
3;0.4206;0.5324;0.0065;0.5793;0.5312;0.0065;0;0.4529;0.0077;0;0.3717;0.0126;0;0.302;0.0115
3;0.3397;0.557;0.0061;0.6602;0.5602;0.0058;0;0.4553;0.0069;0;0.3968;0.0111;0;0.3367;0.0104
3;0.2665;0.5422;0.0061;0.7334;0.5463;0.0061;0;0.4449;0.006;0;0.3908;0.0116;0;0.3178;0.0108
3;0.3648;0.565;0.0054;0.6351;0.5679;0.0054;0;0.4792;0.0073;0;0.4194;0.0108;0;0.3463;0.0102
3;0.4043;0.561;0.006;0.5956;0.5604;0.0056;0;0.4569;0.007;0;0.4063;0.011;0;0.3354;0.0104
3;0.4057;0.5197;0.0074;0.5942;0.5216;0.0068;0;0.4204;0.0089;0;0.3701;0.0127;0;0.2971;0.0116
3;0.4841;0.5704;0.0062;0.5158;0.5673;0.0057;0;0.4751;0.0057;0;0.4112;0.0104;0;0.3513;0.0102
3;0.5;0.5842;0.0056;0.5;0.5783;0.005;0;0.5009;0.0053;0;0.4304;0.0101;0;0.3653;0.0094
3;0.4338;0.5782;0.0047;0.5661;0.5782;0.0056;0;0.4929;0.0067;0;0.4235;0.0102;0;0.3703;0.0095
3;0.4805;0.533;0.0065;0.5194;0.53;0.0064;0;0.4234;0.0064;0;0.3712;0.0126;0;0.3178;0.0111
3;0.4447;0.6059;0.0049;0.5552;0.6011;0.0045;0;0.5122;0.0052;0;0.4486;0.0094;0;0.3934;0.0092
3;0.4102;0.5578;0.0062;0.5897;0.5608;0.006;0;0.4737;0.0073;0;0.4032;0.0112;0;0.3307;0.0104
3;0.527;0.5438;0.0057;0.4729;0.5405;0.0066;0;0.4175;0.0088;0;0.3837;0.0118;0;0.316;0.0113
3;0.4637;0.5982;0.0049;0.5362;0.5945;0.0048;0;0.4915;0.0057;0;0.4404;0.0095;0;0.3893;0.0092
3;0.4816;0.6029;0.0048;0.5183;0.6002;0.0047;0;0.5029;0.006;0;0.4406;0.0095;0;0.3875;0.0089
3;0.3816;0.5228;0.0074;0.6183;0.5267;0.0073;0;0.434;0.0086;0;0.3635;0.0127;0;0.2978;0.0116
3;1;0.5092;0.0085;0;0.3175;0.015;0;0.4152;0.0087;0;0.3562;0.0136;0;0.2908;0.0122
3;0.5272;0.5349;0.0067;0.4727;0.5297;0.0065;0;0.4415;0.0077;0;0.3716;0.0124;0;0.3031;0.0114
3;0.4938;0.5505;0.0057;0.5061;0.5497;0.006;0;0.4563;0.0077;0;0.3871;0.0118;0;0.324;0.0111
3;0.5267;0.5686;0.0049;0.4732;0.5666;0.0059;0;0.4805;0.0071;0;0.4042;0.0109;0;0.3413;0.0103
3;0.3109;0.5823;0.0051;0.689;0.5864;0.0048;0;0.5016;0.006;0;0.4264;0.01;0;0.3633;0.0094
3;0.346;0.5691;0.0057;0.6539;0.5714;0.0054;0;0.4674;0.0053;0;0.4086;0.0106;0;0.3498;0.0102
3;0.4131;0.5304;0.0072;0.5868;0.5311;0.0064;0;0.4403;0.0101;0;0.3748;0.0125;0;0.2993;0.0114
4;0.4733;0.6002;0.0041;0.499;0.6014;0.0041;0.0275;0.5828;0.0139;0;0.4929;0.011;0;0.4568;0.0107
4;0.4945;0.5996;0.0044;0.4692;0.598;0.0039;0.0362;0.5864;0.0157;0;0.4965;0.0114;0;0.4461;0.0108
4;0.4606;0.607;0.004;0.5009;0.6058;0.0044;0.0384;0.5914;0.012;0;0.5053;0.0107;0;0.4588;0.0105
4;0.4725;0.5851;0.0048;0.4706;0.5838;0.0049;0.0567;0.5674;0.0148;0;0.4858;0.0121;0;0.4319;0.0112
4;0.4546;0.5823;0.0053;0.5083;0.5832;0.005;0.037;0.5656;0.0168;0;0.4767;0.0121;0;0.4299;0.0118
4;0.4725;0.6059;0.0039;0.4948;0.6065;0.0045;0.0326;0.5878;0.0153;0;0.5025;0.0111;0;0.4543;0.0104
4;0.456;0.5889;0.005;0.5119;0.5894;0.0046;0.0319;0.5701;0.0167;0;0.4863;0.0119;0;0.4397;0.0114
4;0.5054;0.5904;0.0049;0.4672;0.5899;0.0052;0.0273;0.5733;0.0145;0;0.4787;0.0116;0;0.4379;0.0111
4;0.5168;0.5868;0.005;0.4624;0.5831;0.0043;0.0206;0.5684;0.0163;0;0.4809;0.0119;0;0.4332;0.0117
4;0.464;0.5881;0.005;0.5009;0.5883;0.0048;0.0349;0.5663;0.0165;0;0.486;0.0121;0;0.4397;0.0114
4;0.4948;0.5934;0.0044;0.4772;0.5928;0.0043;0.0279;0.5814;0.0144;0;0.4875;0.0117;0;0.4409;0.0112
4;0.4894;0.5942;0.0046;0.4783;0.5909;0.0045;0.0321;0.5813;0.0122;0;0.4859;0.0117;0;0.4344;0.0111
4;0.9413;0.5937;0.0042;0;0.4622;0.0115;0.0586;0.5726;0.0169;0;0.492;0.0115;0;0.4416;0.0106
4;0.4843;0.6059;0.004;0.4833;0.6043;0.0045;0.0322;0.5882;0.0129;0;0.5032;0.0112;0;0.4469;0.0106
4;0.9544;0.5861;0.0045;0;0.4544;0.0122;0.0455;0.5636;0.0156;0;0.485;0.012;0;0.4274;0.0116
